LSOA Code,LSOA Name,LA Code (2019 boundaries),LA name (2019 boundaries),LA Code (2020 boundaries),LA name (2020 boundaries),All Ages,0-15,16-29,30-44,45-64,65
E01018750,Cornwall 013A,E06000052,Cornwall,E06000052,Cornwall,"2,252",374,286,331,708,553
E01018751,Cornwall 013B,E06000052,Cornwall,E06000052,Cornwall,"1,540",302,244,265,416,313
E01018752,Cornwall 013C,E06000052,Cornwall,E06000052,Cornwall,"2,137",349,294,354,639,501
E01018753,Cornwall 010A,E06000052,Cornwall,E06000052,Cornwall,"1,717",230,160,199,565,563
E01018754,Cornwall 010B,E06000052,Cornwall,E06000052,Cornwall,"1,662",293,192,247,504,426
E01018755,Cornwall 010C,E06000052,Cornwall,E06000052,Cornwall,"1,473",170,143,186,489,485
E01018756,Cornwall 010D,E06000052,Cornwall,E06000052,Cornwall,"1,604",222,142,146,554,540
E01018757,Cornwall 023A,E06000052,Cornwall,E06000052,Cornwall,"2,125",295,198,278,723,631
E01018758,Cornwall 016A,E06000052,Cornwall,E06000052,Cornwall,"2,715",486,338,366,838,687
E01018759,Cornwall 028A,E06000052,Cornwall,E06000052,Cornwall,"1,534",216,160,190,461,507
E01018760,Cornwall 028B,E06000052,Cornwall,E06000052,Cornwall,"1,325",210,137,165,435,378
E01018761,Cornwall 028C,E06000052,Cornwall,E06000052,Cornwall,"1,527",202,139,161,438,587
E01018762,Cornwall 037A,E06000052,Cornwall,E06000052,Cornwall,"1,126",161,91,119,390,365
E01018763,Cornwall 023B,E06000052,Cornwall,E06000052,Cornwall,"1,098",170,162,166,369,231
E01018764,Cornwall 022A,E06000052,Cornwall,E06000052,Cornwall,"1,486",202,140,206,534,404
E01018765,Cornwall 023C,E06000052,Cornwall,E06000052,Cornwall,"1,510",199,161,147,450,553
E01018766,Cornwall 028D,E06000052,Cornwall,E06000052,Cornwall,"1,812",241,197,223,592,559
E01018767,Cornwall 017A,E06000052,Cornwall,E06000052,Cornwall,"1,531",348,240,247,380,316
E01018768,Cornwall 016B,E06000052,Cornwall,E06000052,Cornwall,"2,064",466,324,398,561,315
E01018769,Cornwall 016C,E06000052,Cornwall,E06000052,Cornwall,"2,317",465,379,417,581,475
E01018770,Cornwall 017B,E06000052,Cornwall,E06000052,Cornwall,"1,264",225,198,173,324,344
E01018771,Cornwall 017C,E06000052,Cornwall,E06000052,Cornwall,"1,309",162,247,207,397,296
E01018772,Cornwall 017D,E06000052,Cornwall,E06000052,Cornwall,"1,751",306,184,227,519,515
E01018773,Cornwall 037B,E06000052,Cornwall,E06000052,Cornwall,"1,550",176,189,155,492,538
E01018774,Cornwall 028E,E06000052,Cornwall,E06000052,Cornwall,"1,655",291,238,200,536,390
E01018775,Cornwall 037C,E06000052,Cornwall,E06000052,Cornwall,"1,320",140,132,135,423,490
E01018776,Cornwall 037D,E06000052,Cornwall,E06000052,Cornwall,999,85,80,98,384,352
E01018777,Cornwall 012A,E06000052,Cornwall,E06000052,Cornwall,"2,057",336,202,259,686,574
E01018778,Cornwall 016D,E06000052,Cornwall,E06000052,Cornwall,"1,755",301,193,242,538,481
E01018779,Cornwall 013D,E06000052,Cornwall,E06000052,Cornwall,"2,419",375,315,297,762,670
